,Localidade,num_atendimentos_dengue
0,ABRANCHES,47
1,AHÚ,22
2,ALTO BOQUEIRÃO,863
3,ALTO DA GLÓRIA,24
4,ALTO DA RUA XV,27
5,ATUBA,550
6,AUGUSTA,10
7,BACACHERI,116
8,BAIRRO ALTO,915
9,BARREIRINHA,57
10,BATEL,34
11,BIGORRILHO,65
12,BOA VISTA,161
13,BOM RETIRO,15
14,BOQUEIRÃO,583
15,BUTIATUVINHA,35
16,CABRAL,31
17,CACHOEIRA,33
18,CAJURU,2146
19,CAMPINA DO SIQUEIRA,15
20,CAMPO COMPRIDO,103
21,CAMPO DE SANTANA,1026
22,CAPÃO DA IMBUIA,167
23,CAPÃO RASO,131
24,CASCATINHA,5
25,CAXIMBA,38
26,CENTRO,164
27,CENTRO CÍVICO,13
28,CIDADE INDUSTRIAL DE CURITIBA,2972
29,CRISTO REI,62
30,FANNY,39
31,FAZENDINHA,432
32,GANCHINHO,82
33,GUABIROTUBA,50
34,GUAÍRA,40
35,HAUER,118
36,HUGO LANGE,3
37,JARDIM BOTÂNICO,35
38,JARDIM DAS AMÉRICAS,42
39,JARDIM SOCIAL,20
40,JUVEVÊ,25
41,LAMENHA PEQUENA,5
42,LINDÓIA,29
43,MERCÊS,42
44,MOSSUNGUÊ,28
45,NOVO MUNDO,238
46,ORLEANS,30
47,PAROLIN,36
48,PILARZINHO,97
49,PINHEIRINHO,296
50,PORTÃO,119
51,PRADO VELHO,77
52,REBOUÇAS,98
53,RIVIERA,2
54,SANTA CÂNDIDA,282
55,SANTA FELICIDADE,86
56,SANTA QUITÉRIA,47
57,SANTO INÁCIO,19
58,SEMINÁRIO,20
59,SÃO BRAZ,78
60,SÃO FRANCISCO,17
61,SÃO JOÃO,7
62,SÃO LOURENÇO,13
63,SÃO MIGUEL,3
64,SÍTIO CERCADO,1523
65,TABOÃO,5
66,TARUMÃ,28
67,TATUQUARA,1889
68,TINGUI,113
69,UBERABA,387
70,UMBARÁ,61
71,VILA IZABEL,39
72,VISTA ALEGRE,36
73,XAXIM,338
74,ÁGUA VERDE,126
