codBairro,Bairro,areaKm2,popTotal,numDomicilios
4106902001,Centro,"3,3364173",38671,22221
4106902002,São Francisco,"1,3054936",5008,2395
4106902003,Centro Cívico,"0,9408167",4473,2348
4106902004,Alto da Glória,"0,8773826",6242,3159
4106902005,Alto da Rua XV,"1,4852209",8102,3860
4106902006,Cristo Rei,"1,3843900",17604,8587
4106902007,Jardim Botânico,"2,8174960",5442,2309
4106902008,Rebouças,"2,9886918",13799,6926
4106902009,Água Verde,"4,7820660",49573,21977
4106902010,Batel,"1,7437957",9913,4576
4106902011,Bigorrilho,"2,8636491",25590,12722
4106902012,Mercês,"3,5707301",12290,5368
4106902013,Bom Retiro,"1,8969736",5001,1967
4106902014,Ahú,"1,8471913",11859,4858
4106902015,Juvevê,"1,2388526",12001,5588
4106902016,Cabral,"2,0359589",13723,6329
4106902017,Hugo Lange,"1,1706176",4177,1678
4106902018,Jardim Social,"1,9609637",4902,1780
4106902019,Tarumã,"4,1878468",7073,2641
4106902020,Capão da Imbuia,"3,1835028",18147,7046
4106902021,Cajuru,"11,6815967",90002,32912
4106902022,Jardim das Américas,"3,8688166",15059,5456
4106902023,Guabirotuba,"2,5958572",10650,3989
4106902024,Prado Velho,"2,4604053",4907,2081
4106902025,Parolin,"2,2532878",9925,3510
4106902026,Guaíra,"2,3096920",14791,5580
4106902027,Portão,"5,8698575",49180,20681
4106902028,Vila Izabel,"1,2177517",12859,6072
4106902029,Seminário,"2,1348808",5720,2369
4106902030,Campina do Siqueira,"1,6968556",6887,2982
4106902031,Vista Alegre,"3,7185369",10790,4006
4106902032,Pilarzinho,"7,0398591",27044,10045
4106902033,São Lourenço,"2,2701594",6034,2229
4106902034,Boa Vista,"5,2616989",31983,13131
4106902035,Bacacheri,"7,0772629",23989,9878
4106902036,Bairro Alto,"7,1274305",42767,16003
4106902037,Uberaba,"13,6875345",73241,26236
4106902038,Hauer,"4,0222996",11846,4736
4106902039,Fanny,"1,9477500",8397,3259
4106902040,Lindóia,"1,1982189",8336,3287
4106902041,Novo Mundo,"6,0001288",42073,16920
4106902042,Fazendinha,"3,7203524",25380,9434
4106902043,Santa Quitéria,"2,1052840",10970,4176
4106902044,Campo Comprido,"8,5620634",32395,12506
4106902045,Mossunguê,"3,3668304",12246,4615
4106902046,Santo Inácio,"3,4108962",6781,2483
4106902047,Cascatinha,"2,1844723",2160,804
4106902048,São João,"3,0819352",3277,1204
4106902049,Taboão,"1,8242996",3470,1269
4106902050,Abranches,"4,4228711",13991,5077
4106902051,Cachoeira,"3,2861151",11462,4276
4106902052,Barreirinha,"3,5046856",15986,6069
4106902053,Santa Cândida,"10,2293231",40966,15648
4106902054,Tinguí,"2,1461533",12203,4876
4106902055,Atuba,"4,2585130",19958,7284
4106902056,Boqueirão,"14,7294195",65618,24035
4106902057,Xaxim,"9,1446460",58124,20890
4106902058,Capão Raso,"5,0684045",37852,15085
4106902059,Orleans,"5,0595884",8261,3002
4106902060,São Braz,"5,0476432",23547,8375
4106902061,Botiatuvinha,"10,3267638",13501,4770
4106902062,Lamenha Pequena,"3,5022719",1146,421
4106902063,Santa Felicidade,"12,1960829",32414,11764
4106902064,Alto Boqueirão,"12,0413119",51178,18444
4106902065,Sítio Cercado,"11,1623839",102293,36189
4106902066,Pinheirinho,"10,4818078",56440,21402
4106902067,São Miguel,"7,3676414",6689,2317
4106902068,Augusta,"9,2841908",7399,2604
4106902069,Riviera,"2,5762459",442,148
4106902070,Caximba,"8,3809559",7288,2506
4106902071,Campo de Santana,"21,6283324",40633,14085
4106902072,Ganchinho,"11,5590759",19045,6604
4106902073,Umbará,"22,6138540",21969,7658
4106902074,Tatuquara,"11,2468328",56054,19559
4106902075,Cidade Industrial de Curitiba,"44,3129113",172510,62839
