mape,rmse,mae
0.16382600417680163, 9556.821331899671, 6890.947467875869
0.1363272984231706, 6310.944402356922, 4700.2323622548565
0.2193751762988607, 9102.9130088864, 7410.587566811985
0.1553053763818177, 6923.585312458378, 4858.7127138374435
0.16600965240313148, 8164.401555739217, 5824.398260236192
0.08811869408468143, 4659.043054320989, 3387.6073822091907
0.09651818155624069, 4563.817083548898, 3582.0914246467423
0.14004224885886102, 6899.125217295997, 4795.891539927728
0.15743113894950403, 6812.635080375072, 5484.6553527649785
0.16102588458302894, 6435.901575877396, 5128.677974811701
0.23350154084739358, 9580.114463360736, 7244.444781023341
0.1208442750982461, 7320.605419207851, 4861.47533655413
0.11969688121825926, 6166.314174151926, 4660.029297163355
0.17606050992502942, 8403.181719899532, 6218.528543459647
0.18515158542514024, 8277.8394923044, 5959.394849464349
